name,category,description,image_url
莲藕,vegetable,水生蔬菜，生食爽脆，熟食粉糯，富含淀粉和纤维，可炒、炖、凉拌。,https://via.placeholder.com/150/FFC0CB/000000?Text=LotusRoot
芹菜,vegetable,香味独特，富含纤维，有助于降血压，可炒食、凉拌或榨汁。,https://via.placeholder.com/150/98FB98/000000?Text=Celery
韭菜,herb,气味浓郁，具有温补作用，常用于炒鸡蛋、做馅料或烧烤。(从 vegetable 移到 herb),https://via.placeholder.com/150/32CD32/FFFFFF?Text=Chives
大白菜,vegetable,冬季常见蔬菜，口感清甜，做法多样，炒、炖、腌制均可。,https://via.placeholder.com/150/F0FFF0/000000?Text=ChineseCabbage
紫甘蓝,vegetable,颜色鲜艳的紫色蔬菜，富含花青素，适合制作沙拉或凉拌。,https://via.placeholder.com/150/800080/FFFFFF?Text=RedCabbage
娃娃菜,vegetable,小型大白菜，口感更细嫩甘甜，适合涮火锅、清炒或上汤。,https://via.placeholder.com/150/FFFFE0/000000?Text=BabyCabbage
西葫芦,vegetable,也称美洲南瓜，口感清淡，适合炒食、做馅或制作面点。,https://via.placeholder.com/150/9ACD32/FFFFFF?Text=Zucchini
蒜薹,herb,大蒜的花茎，带有蒜香，口感爽脆，适合炒肉或单独清炒。(从 vegetable 移到 herb),https://via.placeholder.com/150/6B8E23/FFFFFF?Text=GarlicSprouts
空心菜,vegetable,茎部中空，叶片嫩滑，夏季常见绿叶菜，适合蒜蓉或腐乳清炒。,https://via.placeholder.com/150/00FF7F/FFFFFF?Text=WaterSpinach
芥兰,vegetable,口感爽脆微苦，是粤菜中常用的高档蔬菜，白灼或清炒皆宜。,https://via.placeholder.com/150/2E8B57/FFFFFF?Text=ChineseKale
油麦菜,vegetable,叶片细长，口感略苦回甘，富含维生素，适合蒜蓉清炒或麻酱凉拌。,https://via.placeholder.com/150/ADFF2F/000000?Text=IndianLettuce
莴笋,vegetable,茎部清脆爽口，叶片也可食用，可凉拌、清炒或腌制。,https://via.placeholder.com/150/98FB98/000000?Text=AsparagusLettuce
竹笋,vegetable,鲜嫩爽脆，有多种类型（春笋、冬笋等），适合炒、炖、焖。,https://via.placeholder.com/150/F5DEB3/000000?Text=BambooShoot
秋葵,vegetable,带有黏液，口感独特，富含多种营养，可焯水凉拌或炒食。,https://via.placeholder.com/150/90EE90/000000?Text=Okra
荷兰豆,vegetable,豆荚扁平，口感清甜爽脆，适合清炒或作为配菜。,https://via.placeholder.com/150/8FBC8F/FFFFFF?Text=SnowPea
四季豆,legume,也称芸豆，需彻底煮熟食用，口感脆嫩，适合干煸或炒肉。(从 vegetable 移到 legume),https://via.placeholder.com/150/228B22/FFFFFF?Text=GreenBean
苋菜,vegetable,富含铁质和维生素，叶片嫩滑，常用于上汤或清炒。,https://via.placeholder.com/150/90EE90/000000?Text=Amaranth
菜心,vegetable,粤菜常用绿叶蔬菜，口感爽甜，适合白灼、清炒或制作蚝油菜心。,https://via.placeholder.com/150/3CB371/FFFFFF?Text=ChoySum
西兰苔,vegetable,西兰花与芥兰的杂交品种，口感结合两者特点，清炒或蒜蓉均可。,https://via.placeholder.com/150/2E8B57/FFFFFF?Text=Broccolini
红薯叶,vegetable,红薯的嫩叶，富含维生素和纤维，口感滑嫩，适合蒜蓉清炒。,https://via.placeholder.com/150/ADFF2F/000000?Text=SweetPotatoLeaves
佛手瓜,vegetable,瓜果类蔬菜，口感清脆，可炒食、凉拌或做汤。,https://via.placeholder.com/150/98FB98/000000?Text=Chayote
茭白,vegetable,水生蔬菜，肉质洁白细嫩，带有清甜味，适合炒、烧或油焖。,https://via.placeholder.com/150/F5F5DC/000000?Text=WaterBamboo
慈菇,vegetable,球茎类水生蔬菜，略带苦味，常用于红烧或与肉类同煮。,https://via.placeholder.com/150/D2B48C/000000?Text=Arrowhead
# --- 肉类 (Meat) ---
五花肉,meat,肥瘦相间的猪肉部位，口感丰富，适合红烧、回锅、烤制等。,https://via.placeholder.com/150/D2691E/FFFFFF?Text=PorkBelly
里脊肉,meat,猪或牛身上最嫩的肉，脂肪含量低，适合快炒、煎炸或制作肉排。,https://via.placeholder.com/150/FFDAB9/000000?Text=Tenderloin
排骨,meat,猪、牛、羊的肋骨部位，肉质鲜美，适合炖汤、红烧、糖醋或烤制。,https://via.placeholder.com/150/CD853F/FFFFFF?Text=Ribs
猪蹄,meat,富含胶原蛋白，口感软糯Q弹，适合卤制、红烧或煲汤。,https://via.placeholder.com/150/DEB887/000000?Text=PorkFeet
肥牛,meat,切成薄片的牛肉，常用于火锅、烧烤或日式牛肉饭。,https://via.placeholder.com/150/B22222/FFFFFF?Text=BeefSlices
牛腩,meat,牛腹部及靠近牛肋处的松软肌肉，带有筋、肉、油花，适合炖煮。,https://via.placeholder.com/150/8B0000/FFFFFF?Text=BeefBrisket
牛腱子,meat,牛腿部肌肉，筋肉相间，有嚼劲，适合卤制、酱制或炖煮。,https://via.placeholder.com/150/A0522D/FFFFFF?Text=BeefShank
羊肉,meat,带有特殊膻味，性温补，适合涮火锅、烤羊肉串、炖煮等。,https://via.placeholder.com/150/F0E68C/000000?Text=Lamb
羊排,meat,羊的肋骨部位，肉质鲜嫩，适合香煎、烤制或法式做法。,https://via.placeholder.com/150/D2B48C/000000?Text=LambChops
腊肉,meat,腌制风干的猪肉，风味独特咸香，适合蒸、炒或作为配料。,https://via.placeholder.com/150/A52A2A/FFFFFF?Text=CuredPork
香肠,meat,将肉末灌入肠衣制成的加工肉制品，种类繁多，可煎、烤、炒。,https://via.placeholder.com/150/FF6347/FFFFFF?Text=Sausage
培根,meat,烟熏猪肉薄片，西式早餐常见，也可用于炒菜或制作披萨。,https://via.placeholder.com/150/FFA07A/FFFFFF?Text=Bacon
兔肉,meat,低脂肪高蛋白肉类，肉质细嫩，适合炖煮、红烧或冷吃。,https://via.placeholder.com/150/DCDCDC/000000?Text=RabbitMeat
鹿肉,meat,野味之一，脂肪含量低，肉质精瘦，风味独特，适合炖煮或烤制。,https://via.placeholder.com/150/8B4513/FFFFFF?Text=Venison
驴肉,meat,民间有“天上龙肉，地上驴肉”之说，肉质细嫩，常用于酱制或制作火烧。,https://via.placeholder.com/150/A0522D/FFFFFF?Text=DonkeyMeat
狗肉,meat,某些地区食用的肉类，性温，冬季食用较多，做法多样。(Note: Controversial),https://via.placeholder.com/150/696969/FFFFFF?Text=DogMeat
# --- 禽类 (Poultry) ---
鸡腿,poultry,鸡的腿部，肉质滑嫩，带皮带骨，适合烤、炸、卤、炖等。,https://via.placeholder.com/150/FFD700/000000?Text=ChickenLeg
鸡翅,poultry,鸡的翅膀，皮多肉嫩，胶质丰富，适合烤、炸、红烧（可乐鸡翅）。,https://via.placeholder.com/150/FFA500/FFFFFF?Text=ChickenWing
乌鸡,poultry,皮肉骨均为黑色，营养价值高，常用于煲汤滋补。,https://via.placeholder.com/150/000000/FFFFFF?Text=BlackChicken
鸭肉,poultry,肉质较粗，带有特殊风味，适合烤（北京烤鸭）、卤、炖汤。,https://via.placeholder.com/150/87CEEB/000000?Text=Duck
鸭胗,poultry,鸭的胃，口感脆韧，适合卤制、爆炒或制作凉菜。,https://via.placeholder.com/150/B0C4DE/000000?Text=DuckGizzard
鹅肉,poultry,肉质比鸭肉更紧实，脂肪含量较高，适合烧腊、卤制或炖煮。,https://via.placeholder.com/150/D3D3D3/000000?Text=Goose
鸽子肉,poultry,肉质细嫩鲜美，营养丰富，常用于煲汤或烤乳鸽。,https://via.placeholder.com/150/C0C0C0/000000?Text=Pigeon
鹌鹑蛋,egg,小巧的蛋类，营养价值与鸡蛋相似，常用于火锅、卤制或装饰。(从 poultry 移到 egg),https://via.placeholder.com/150/FAFAD2/000000?Text=QuailEgg
# --- 海鲜类 (Seafood) ---
鳕鱼,seafood,肉质雪白细嫩，刺少，适合香煎、烤制或制作鱼排。,https://via.placeholder.com/150/F8F8FF/000000?Text=Cod
带鱼,seafood,体型扁长，银白色，肉质鲜美，常用于红烧、干煎或油炸。,https://via.placeholder.com/150/C0C0C0/000000?Text=Hairtail
黄花鱼,seafood,肉质细嫩呈蒜瓣状，味道鲜美，适合清蒸、红烧或香煎。,https://via.placeholder.com/150/FFD700/000000?Text=YellowCroaker
鲈鱼,seafood,肉质鲜嫩，刺少，是常见的淡水或海水鱼，清蒸最为经典。,https://via.placeholder.com/150/ADD8E6/000000?Text=SeaBass
鲳鱼,seafood,体扁，肉厚刺少，味道鲜美，适合清蒸、红烧或香煎。,https://via.placeholder.com/150/B0E0E6/000000?Text=Pomfret
鱿鱼,seafood,也称枪乌贼，口感Q弹有嚼劲，适合爆炒、烧烤或制作鱿鱼圈。,https://via.placeholder.com/150/FFE4E1/000000?Text=Squid
墨鱼,seafood,也称乌贼，肉质厚实Q弹，富含墨汁，适合炒、炖或制作墨鱼丸。,https://via.placeholder.com/150/A9A9A9/FFFFFF?Text=Cuttlefish
章鱼,seafood,也称八爪鱼，口感脆爽Q弹，适合白灼、爆炒、烧烤或制作刺身。,https://via.placeholder.com/150/FF7F50/FFFFFF?Text=Octopus
螃蟹,seafood,甲壳类动物，肉质鲜美，蟹黄/蟹膏丰腴，清蒸最为常见。,https://via.placeholder.com/150/FF4500/FFFFFF?Text=Crab
小龙虾,seafood,淡水螯虾，夏季热门美食，麻辣、蒜蓉等口味多样。,https://via.placeholder.com/150/DC143C/FFFFFF?Text=Crayfish
扇贝,seafood,贝类海鲜，肉质鲜甜，适合蒜蓉粉丝蒸、烤制或制作刺身。,https://via.placeholder.com/150/FFF5EE/000000?Text=Scallop
生蚝,seafood,也称牡蛎，肉质肥美，富含锌，可生食、碳烤或蒜蓉蒸。,https://via.placeholder.com/150/DCDCDC/000000?Text=Oyster
蛤蜊,seafood,小型贝类，肉质鲜嫩，常用于炒、煮汤或制作海鲜意面。,https://via.placeholder.com/150/F5FFFA/000000?Text=Clam
蛏子,seafood,长条形贝类，肉质鲜美，适合葱油、辣炒或制作烧烤。,https://via.placeholder.com/150/FFEBCD/000000?Text=RazorClam
海带,seafood,藻类食材，富含碘和多种矿物质，可凉拌、炖汤或制作海带丝。,https://via.placeholder.com/150/006400/FFFFFF?Text=Kelp
紫菜,seafood,薄片状藻类，常用于制作寿司、紫菜蛋花汤或作为零食。,https://via.placeholder.com/150/4B0082/FFFFFF?Text=Nori
鲍鱼,seafood,名贵海产，肉质细嫩Q弹，营养丰富，常用于高档菜肴。,https://via.placeholder.com/150/F0E68C/000000?Text=Abalone
海参,seafood,名贵滋补品，富含胶原蛋白，口感软糯或爽滑，多用于炖汤或红烧。,https://via.placeholder.com/150/2F4F4F/FFFFFF?Text=SeaCucumber
鱼翅,seafood,鲨鱼鳍中的软骨，传统名贵食材，口感主要来自汤汁。(Note: Controversial, sustainability issues),https://via.placeholder.com/150/FAFAD2/000000?Text=SharkFin
海蜇,seafood,水母的可食用部分，口感爽脆，常用于凉拌。,https://via.placeholder.com/150/ADD8E6/000000?Text=Jellyfish
田螺,seafood,淡水螺类，肉质鲜美，常用于辣炒或制作螺蛳粉的汤底。,https://via.placeholder.com/150/8FBC8F/FFFFFF?Text=RiverSnail
淡菜,seafood,也称贻贝、青口，贝类海鲜，肉质鲜美，可煮、烤或制作海鲜饭。,https://via.placeholder.com/150/4682B4/FFFFFF?Text=Mussel
多宝鱼,seafood,比目鱼的一种，肉质细嫩，刺少，适合清蒸。,https://via.placeholder.com/150/B0C4DE/000000?Text=Turbot
鳗鱼,seafood,肉质肥美细嫩，富含脂肪，常用于制作蒲烧鳗鱼饭或烤鳗鱼。,https://via.placeholder.com/150/778899/FFFFFF?Text=Eel
基围虾,seafood,常见的养殖虾类，肉质鲜甜，适合白灼、油焖或椒盐。,https://via.placeholder.com/150/FFB6C1/000000?Text=PenaeusVannamei
皮皮虾,seafood,也称螳螂虾，甲壳硬，肉质鲜美，椒盐或白灼常见。,https://via.placeholder.com/150/FFA07A/FFFFFF?Text=MantisShrimp
# --- 蛋类 (Egg) ---
鸭蛋,egg,鸭子产的蛋，比鸡蛋大，蛋黄比例高，常用于制作咸鸭蛋、皮蛋。,https://via.placeholder.com/150/F0E68C/000000?Text=DuckEgg
皮蛋,egg,经过特殊工艺腌制的鸭蛋，蛋黄呈墨绿色，口感独特，常用于凉拌或煮粥。,https://via.placeholder.com/150/2F4F4F/FFFFFF?Text=CenturyEgg
咸鸭蛋,egg,用盐腌制的鸭蛋，蛋黄流油，咸香味浓，常用于佐餐或制作月饼。,https://via.placeholder.com/150/D2B48C/000000?Text=SaltedDuckEgg
鹅蛋,egg,鹅产的蛋，体积较大，营养丰富，适合煮食或用于烘焙。,https://via.placeholder.com/150/FFFFFF/000000?Text=GooseEgg
鸡蛋液,egg,打散的鸡蛋，方便快速使用，用于烘焙、煎蛋或裹面糊。,https://via.placeholder.com/150/FFFACD/000000?Text=LiquidEgg
蛋清,egg,鸡蛋的白色部分，富含蛋白质，低脂，常用于制作蛋白霜、蒸蛋。,https://via.placeholder.com/150/F0F8FF/000000?Text=EggWhite
蛋黄,egg,鸡蛋的黄色部分，富含脂肪和维生素，味道浓郁，用于制作酱料、布丁或烘焙。,https://via.placeholder.com/150/FFD700/000000?Text=EggYolk
# --- 乳制品 (Dairy) ---
黄油,dairy,从牛奶中提取的脂肪，固态或半固态，用于烘焙、煎炸或涂抹面包。,https://via.placeholder.com/150/FFFFE0/000000?Text=Butter
奶酪,dairy,也称芝士，牛奶发酵制品，种类繁多，风味各异，用于制作菜肴或直接食用。,https://via.placeholder.com/150/FFDEAD/000000?Text=Cheese
淡奶油,dairy,液态乳制品，脂肪含量较高，用于制作甜点、咖啡或浓汤。,https://via.placeholder.com/150/FFF0F5/000000?Text=Cream
炼乳,dairy,浓缩加糖的牛奶，非常甜，常用于制作甜点或搭配水果。,https://via.placeholder.com/150/FFFAF0/000000?Text=CondensedMilk
奶油奶酪,dairy,一种质地柔软、味道微酸的新鲜奶酪，常用于制作芝士蛋糕、涂抹面包。,https://via.placeholder.com/150/F5F5DC/000000?Text=CreamCheese
马苏里拉奶酪,dairy,一种可拉丝的意大利奶酪，常用于披萨、焗饭。,https://via.placeholder.com/150/FFFFFF/000000?Text=MozzarellaCheese
切达奶酪,dairy,常见的硬质奶酪，颜色黄色到橙色，风味浓郁，可切片、磨碎或入馔。,https://via.placeholder.com/150/FFA500/FFFFFF?Text=CheddarCheese
帕玛森奶酪,dairy,硬质、颗粒状的意大利奶酪，风味强烈，常磨碎撒在意面、沙拉上。,https://via.placeholder.com/150/F0E68C/000000?Text=ParmesanCheese
希腊酸奶,dairy,一种过滤掉部分乳清的酸奶，质地更浓稠，蛋白质含量更高。,https://via.placeholder.com/150/F0FFFF/000000?Text=GreekYogurt
奶油,dairy,广义上指牛奶或奶油制品，如鲜奶油、打发奶油等。,https://via.placeholder.com/150/FFFACD/000000?Text=Cream (Note: Check for overlap with淡奶油)
# --- 菌菇 (Mushroom) ---
蘑菇,mushroom,菌类食材，种类繁多，口感鲜美，富含蛋白质和氨基酸。,https://via.placeholder.com/150/D2B48C/000000?Text=Mushroom
金针菇,mushroom,细长白色菌菇，口感爽滑，常用于火锅、炒菜或凉拌。,https://via.placeholder.com/150/FFF8DC/000000?Text=EnokiMushroom
香菇,mushroom,香味浓郁的干制或新鲜菌菇，提升菜肴风味，适合炖汤、炒菜。,https://via.placeholder.com/150/8B4513/FFFFFF?Text=Shiitake
木耳,mushroom,菌类干制品，需泡发食用，口感爽脆，常用于炒菜、凉拌或汤羹。,https://via.placeholder.com/150/696969/FFFFFF?Text=WoodEar
银耳,mushroom,也称白木耳，菌类干制品，富含胶质，常用于制作甜羹或凉拌。,https://via.placeholder.com/150/FAF0E6/000000?Text=Tremella
平菇,mushroom,常见的食用菌，口感柔软，适合炒菜、做汤或烧烤。,https://via.placeholder.com/150/C0C0C0/000000?Text=OysterMushroom
杏鲍菇,mushroom,菌柄粗壮，口感厚实有嚼劲，有杏仁香味，适合煎、炒、烤。,https://via.placeholder.com/150/D2B48C/000000?Text=KingOysterMushroom
蟹味菇,mushroom,白色或褐色，成簇生长，味道鲜美，口感脆滑，适合炒菜、汤。,https://via.placeholder.com/150/E0FFFF/000000?Text=BeechMushroom
白玉菇,mushroom,白色光滑，质地细嫩，口感清淡，适合清炒或搭配其他食材。,https://via.placeholder.com/150/F5F5F5/000000?Text=WhiteBeechMushroom
秀珍菇,mushroom,小巧可爱，口感滑嫩，适合快炒或做汤。,https://via.placeholder.com/150/ADD8E6/000000?Text=PhoenixTailMushroom
草菇,mushroom,生长速度快，口感脆嫩，常用于中餐炒菜、焖煮。,https://via.placeholder.com/150/FFB6C1/000000?Text=StrawMushroom
滑子菇,mushroom,表面有粘液，口感滑润，适合做汤或凉拌。,https://via.placeholder.com/150/DAA520/FFFFFF?Text=NamekoMushroom
松茸,mushroom,珍贵野生菌，香气浓郁，口感脆嫩，适合清蒸、烤制或炖汤。,https://via.placeholder.com/150/CD853F/FFFFFF?Text=Matsutake
牛肝菌,mushroom,多种类野生菌，肉质肥厚，味道鲜美，适合炒、炖或制作干片。,https://via.placeholder.com/150/A0522D/FFFFFF?Text=Boletus
# --- 豆类 (Legume) ---
毛豆,legume,未成熟的大豆，口感鲜嫩，富含蛋白质，可盐水煮或炒食。,https://via.placeholder.com/150/3CB371/FFFFFF?Text=Edamame
四季豆,legume,也称芸豆，需彻底煮熟食用，口感脆嫩，适合干煸或炒肉。,https://via.placeholder.com/150/228B22/FFFFFF?Text=GreenBean
黄豆,legume,大豆，可制成豆腐、豆浆、豆皮等豆制品，也可发酵成豆豉、酱油。,https://via.placeholder.com/150/F0E68C/000000?Text=Soybean
绿豆,legume,常见豆类，有清热解暑功效，常用于煮粥、做汤或制作绿豆沙。,https://via.placeholder.com/150/ADFF2F/000000?Text=MungBean
红豆,legume,也称赤豆，常用于制作豆沙馅、蜜红豆或煮粥、糖水。,https://via.placeholder.com/150/B22222/FFFFFF?Text=RedBean
豌豆,legume,小圆颗粒，口感清甜，可生食嫩豌豆或炒食、煮汤。,https://via.placeholder.com/150/90EE90/000000?Text=Pea
蚕豆,legume,豆粒较大，口感面软，可煮食、炒食或油炸。,https://via.placeholder.com/150/98FB98/000000?Text=BroadBean
扁豆,legume,豆荚扁平，口感脆嫩，适合炒食或炖煮。,https://via.placeholder.com/150/7CFC00/FFFFFF?Text=FlatBean
鹰嘴豆,legume,形状像鹰嘴，口感粉糯，富含蛋白质和纤维，常用于制作中东菜鹰嘴豆泥或沙拉。,https://via.placeholder.com/150/F5F5DC/000000?Text=Chickpea
小扁豆,legume,颗粒小，无需浸泡易煮烂，颜色多样，常用于煮汤或炖菜。,https://via.placeholder.com/150/CD853F/FFFFFF?Text=Lentil
豆腐干,legume,豆腐经过压制、烘干或熏制而成，口感更紧实有嚼劲，适合炒、卤或凉拌。,https://via.placeholder.com/150/D2B48C/000000?Text=DriedTofu
腐竹,legume,豆浆煮沸后表面凝结的薄膜晾干而成，口感独特，适合炖汤、凉拌或红烧。,https://via.placeholder.com/150/F0E68C/000000?Text=DriedBeancurdStick
豆皮,legume,豆浆煮沸后表面结皮而成，薄而软韧，适合凉拌、涮火锅或炒菜。,https://via.placeholder.com/150/FFDEAD/000000?Text=TofuSkin
豆芽,legume,豆类种子发芽而成，口感清脆，分为黄豆芽、绿豆芽等，适合清炒、凉拌或做汤。,https://via.placeholder.com/150/BDB76B/000000?Text=BeanSprouts
# --- 坚果与籽类 (Nut & Seed) ---
花生,nut_seed,也称落花生，豆科植物，富含蛋白质和油脂，可生食、煮、炸、炒或制作花生酱。,https://via.placeholder.com/150/F4A460/FFFFFF?Text=Peanut
核桃,nut_seed,坚果，富含不饱和脂肪酸和多种营养，有益大脑，可生食或入馔。,https://via.placeholder.com/150/DEB887/000000?Text=Walnut
杏仁,nut_seed,杏的果仁，有甜杏仁和苦杏仁之分，可作零食、制作杏仁露或入药。,https://via.placeholder.com/150/FFDAB9/000000?Text=Almond
腰果,nut_seed,肾形坚果，香甜可口，富含油脂，可作零食或用于炒菜、制作甜点。,https://via.placeholder.com/150/FFE4B5/000000?Text=CashewNut
开心果,nut_seed,坚果，果壳裂开，果仁绿色，香气独特，常作零食。,https://via.placeholder.com/150/98FB98/000000?Text=Pistachio
夏威夷果,nut_seed,也称澳洲坚果，球形坚果，乳白色果仁，奶香味浓郁，富含油脂。,https://via.placeholder.com/150/FFF8DC/000000?Text=MacadamiaNut
板栗,nut_seed,也称栗子，淀粉含量高，口感粉糯香甜，可糖炒、炖煮或制作糕点。,https://via.placeholder.com/150/A0522D/FFFFFF?Text=Chestnut
松子,nut_seed,松树的种子，富含油脂，香气独特，可作零食或用于菜肴、糕点。,https://via.placeholder.com/150/F5DEB3/000000?Text=PineNut
瓜子,nut_seed,多种瓜类的种子，如葵花籽、西瓜子、南瓜子等，常作为休闲零食。,https://via.placeholder.com/150/D2B48C/000000?Text=MelonSeeds
芝麻,nut_seed,籽粒小而饱满，有黑白之分，富含油脂，可炒熟食用或榨油、磨酱。,https://via.placeholder.com/150/FAFAD2/000000?Text=Sesame
奇亚籽,nut_seed,小型黑色或白色籽粒，富含Omega-3和纤维，吸水膨胀，常用于制作奇亚籽布丁或加入饮品。,https://via.placeholder.com/150/DCDCDC/000000?Text=ChiaSeed
亚麻籽,nut_seed,小型棕色或黄色籽粒，富含Omega-3和木酚素，常磨碎食用或榨油。,https://via.placeholder.com/150/CD853F/FFFFFF?Text=Flaxseed
南瓜籽,nut_seed,南瓜的种子，富含锌，可炒熟作零食或用于烘焙。,https://via.placeholder.com/150/FFD700/000000?Text=PumpkinSeed
